Subject,Date of Trial,Birthdate,Age,Correct Response,ImPairNumber,ImageFileName,Response,CorrectBasic,CorrectSize,RespondedButIncorrect
2,2/4/15,10/13/10,52,Book Shelf,12,12_bookcase.png,Bookshelf,1,1,0
2,2/4/15,10/13/10,52,Wheelchair,20,20_wheelchair.png,Wheelchair,1,1,0
2,2/4/15,10/13/10,52,Plug,6,06_cable.png,X,0,0,0
2,2/4/15,10/13/10,52,Piano,13,13_piano.png,Piano,1,1,0
2,2/4/15,10/13/10,52,Washing Machine,14,14_washingMachine.png,Washing Machine,1,1,0
2,2/4/15,10/13/10,52,Couch,15,15_couch2.png,Couch,1,1,0
2,2/4/15,10/13/10,52,Trash can,16,16_garbagecan.png,Bin,1,1,1
2,2/4/15,10/13/10,52,Hot air Balloon,17,17_hotairballoon2.png,Hot Air Balloon,1,1,0
2,2/4/15,10/13/10,52,Die,7,07_dice.png,x,0,0,0
2,2/4/15,10/13/10,52,Coin Purse,8,08_changepurse.png,Money Bag,1,1,0
2,2/4/15,10/13/10,52,Mushroom,9,09_mushroom.png,Mushroom,1,1,0
2,2/4/15,10/13/10,52,Hot Air Balloon,18,18_hotairballoon.png,Hot Air Balloon,1,1,0
2,2/4/15,10/13/10,52,BowTie Pasta,10,10_bowtiepasta.png,Bow,0,1,1
2,2/4/15,10/13/10,52,Refrigerator,19,19_refrigerator.png,Refrigerator,1,1,0
4,2/18/15,3/10/10,59,Apple,1,01_apple.png,Apple,1,1,0
4,2/18/15,3/10/10,59,Desk,11,11_controller.png,Game Controller,1,1,0
4,2/18/15,3/10/10,59,Game Controller,2,02_carousel.png,Ceremony,0,0,1
4,2/18/15,3/10/10,59,Carosel,12,12_pencil sharpener 5.png,Music Box,0,1,1
4,2/18/15,3/10/10,59,Pencil Sharperner,1,01_desk.png,Desk,1,1,0
4,2/18/15,3/10/10,59,Couch,3,03_sofachair.png,Couch,1,1,0
4,2/18/15,3/10/10,59,Tractor,4,04_tractor11.png,Tractor,1,1,0
4,2/18/15,3/10/10,59,Rubber Duck,13,13_rubberduck.png,Duck,1,1,0
4,2/18/15,3/10/10,59,Covered Wagon,5,05_wagon.png,Wagon,1,1,0
4,2/18/15,3/10/10,59,Perfume Bottle,14,14_perfume.png,Potion,0,1,1
4,2/18/15,3/10/10,59,Tape Dispenser,15,15_scotchtape.png,Tape,1,1,0
4,2/18/15,3/10/10,59,Grill,7,07_grill.png,Desk,0,1,1
4,2/18/15,3/10/10,59,Alarm Clock,16,16_clock.png,Clock,1,1,0
4,2/18/15,3/10/10,59,Pinecone,17,17_pinecone.png,Pinecone,1,1,0
4,2/18/15,3/10/10,59,Piano,8,08_uprightpiano.png,Piano,1,1,0
4,2/18/15,3/10/10,59,Ring Box,18,18_ringbox03.png,Suitcase,0,0,1
4,2/18/15,3/10/10,59,Garlic,19,19_garlic.png,Onion,1,1,1
4,2/18/15,3/10/10,59,Ornament,20,20_ornament.png,Oranament,1,1,0
4,2/18/15,3/10/10,59,Chair,9,09_armchair.png,Chair,1,1,0
4,2/18/15,3/10/10,59,Shell,2,02_seashell.png,Shell,1,1,0
4,2/18/15,3/10/10,59,Buffao,10,10_bison.png,Buffalo,1,1,0
4,2/18/15,3/10/10,59,Baseball,3,03_baseball 2.png,Baseball,1,1,0
4,2/18/15,3/10/10,59,Fountain Statue,11,11_fountain13.png,Water Fountain,1,1,0
4,2/18/15,3/10/10,59,Parthanon,6,06_parthenon.png,Train Station,1,1,0
4,2/18/15,3/10/10,59,Camera,4,04_camera.png,Camera,1,1,0
4,2/18/15,3/10/10,59,Button,5,05_button.png,Button,1,1,0
4,2/18/15,3/10/10,59,Book Shelf,12,12_bookcase.png,Book Shelf,1,1,0
4,2/18/15,3/10/10,59,Wheelchair,20,20_wheelchair.png,WheelChair,1,1,0
4,2/18/15,3/10/10,59,Plug,6,06_cable.png,x,0,0,0
4,2/18/15,3/10/10,59,Piano,13,13_piano.png,Piano,1,1,0
4,2/18/15,3/10/10,59,Washing Machine,14,14_washingMachine.png,Washer,1,1,0
4,2/18/15,3/10/10,59,Couch,15,15_couch2.png,Couch,1,1,0
4,2/18/15,3/10/10,59,Trash can,16,16_garbagecan.png,Trash Can,1,1,0
4,2/18/15,3/10/10,59,Hot air Balloon,17,17_hotairballoon2.png,Hot Air Balloon,1,1,0
4,2/18/15,3/10/10,59,Die,7,07_dice.png,Die,1,1,0
4,2/18/15,3/10/10,59,Coin Purse,8,08_changepurse.png,Money Bag,1,1,0
4,2/18/15,3/10/10,59,Mushroom,9,09_mushroom.png,Mushroom,1,1,0
4,2/18/15,3/10/10,59,Hot Air Balloon,18,18_hotairballoon.png,Hot Air Balloon,1,1,0
4,2/18/15,3/10/10,59,BowTie Pasta,10,10_bowtiepasta.png,Ring,0,1,1
4,2/18/15,3/10/10,59,Refriderator,19,19_refrigerator.png,Fridge,1,1,0
5,2/18/15,2/18/11,48,Apple,1,01_apple.png,Apple,1,1,0
5,2/18/15,2/18/11,48,Desk,11,11_controller.png,Remote Control,1,1,0
5,2/18/15,2/18/11,48,Game Controller,2,02_carousel.png,Merry Go Round,1,1,0
5,2/18/15,2/18/11,48,Carosel,12,12_pencil sharpener 5.png,X,0,0,0
5,2/18/15,2/18/11,48,Pencil Sharperner,1,01_desk.png,Table,1,1,0
5,2/18/15,2/18/11,48,Couch,3,03_sofachair.png,Couch,1,1,0
5,2/18/15,2/18/11,48,Tractor,4,04_tractor11.png,Tractor,1,1,0
5,2/18/15,2/18/11,48,Rubber Duck,13,13_rubberduck.png,Ducky,1,1,0
5,2/18/15,2/18/11,48,Covered Wagon,5,05_wagon.png,Wagon,1,1,0
5,2/18/15,2/18/11,48,Perfume Bottle,14,14_perfume.png,Perfume,1,1,0
5,2/18/15,2/18/11,48,Tape Dispenser,15,15_scotchtape.png,Tape,1,1,0
5,2/18/15,2/18/11,48,Grill,7,07_grill.png,Grill,1,1,0
5,2/18/15,2/18/11,48,Alarm Clock,16,16_clock.png,Timer,1,1,0
5,2/18/15,2/18/11,48,Pinecone,17,17_pinecone.png,X,0,0,0
5,2/18/15,2/18/11,48,Piano,8,08_uprightpiano.png,Piano,1,1,0
5,2/18/15,2/18/11,48,Ring Box,18,18_ringbox03.png,?,0,0,0
5,2/18/15,2/18/11,48,Garlic,19,19_garlic.png,Onion,1,1,1
5,2/18/15,2/18/11,48,Ornament,20,20_ornament.png,Ornament,1,1,0
5,2/18/15,2/18/11,48,Chair,9,09_armchair.png,Chair,1,1,0
5,2/18/15,2/18/11,48,Shell,2,02_seashell.png,Clam,1,1,0
5,2/18/15,2/18/11,48,Buffao,10,10_bison.png,Yak,1,1,0
5,2/18/15,2/18/11,48,Baseball,3,03_baseball 2.png,Tennis,0,1,1
5,2/18/15,2/18/11,48,Fountain Statue,11,11_fountain13.png,Waterfall,1,1,1
5,2/18/15,2/18/11,48,Parthanon,6,06_parthenon.png,Trainstation,1,1,0
5,2/18/15,2/18/11,48,Camera,4,04_camera.png,Camera,1,1,0
5,2/18/15,2/18/11,48,Button,5,05_button.png,Button,1,1,0
5,2/18/15,2/18/11,48,Book Shelf,12,12_bookcase.png,Bookshelf,1,1,0
5,2/18/15,2/18/11,48,Wheelchair,20,20_wheelchair.png,WheelChair,1,1,0
5,2/18/15,2/18/11,48,Plug,6,06_cable.png,X,0,0,0
5,2/18/15,2/18/11,48,Piano,13,13_piano.png,Piano,1,1,0
5,2/18/15,2/18/11,48,Washing Machine,14,14_washingMachine.png,Washing,1,1,0
5,2/18/15,2/18/11,48,Couch,15,15_couch2.png,Bigger Chair,1,1,0
5,2/18/15,2/18/11,48,Trash can,16,16_garbagecan.png,Garbage,1,1,0
5,2/18/15,2/18/11,48,Hot air Balloon,17,17_hotairballoon2.png,Hot Air Balloon,1,1,0
5,2/18/15,2/18/11,48,Die,7,07_dice.png,Cube,0,1,1
5,2/18/15,2/18/11,48,Coin Purse,8,08_changepurse.png,Pocket Book,1,1,0
5,2/18/15,2/18/11,48,Mushroom,9,09_mushroom.png,Marshmallow,0,1,0
5,2/18/15,2/18/11,48,Hot Air Balloon,18,18_hotairballoon.png,Hot Air Balloon,1,1,0
5,2/18/15,2/18/11,48,BowTie Pasta,10,10_bowtiepasta.png,Something to eat,0,1,1
5,2/18/15,2/18/11,48,Refriderator,19,19_refrigerator.png,Fridge,1,1,0
9,2/18/15,2/18/11,48,,1,01_apple.png,Apple,1,1,0
9,2/18/15,2/18/11,48,,11,11_controller.png,Remote Control,1,1,0
9,2/18/15,2/18/11,48,,2,02_carousel.png,x,0,0,0
9,2/18/15,2/18/11,48,,12,12_pencil sharpener 5.png,Spy Graph,0,0,1
9,2/18/15,2/18/11,48,,1,01_desk.png,Table,1,1,0
9,2/18/15,2/18/11,48,,3,03_sofachair.png,Couch,1,1,0
9,2/18/15,2/18/11,48,,4,04_tractor11.png,Tractor,1,1,0
9,2/18/15,2/18/11,48,,13,13_rubberduck.png,Ducky,1,1,0
9,2/18/15,2/18/11,48,,5,05_wagon.png,Carriage,1,1,0
9,2/18/15,2/18/11,48,,14,14_perfume.png,x,0,0,0
9,2/18/15,2/18/11,48,,15,15_scotchtape.png,Tape,1,1,0
9,2/18/15,2/18/11,48,,7,07_grill.png,x,0,0,0
9,2/18/15,2/18/11,48,,16,16_clock.png,Clock,1,1,0
9,2/18/15,2/18/11,48,,17,17_pinecone.png,x,0,0,0
9,2/18/15,2/18/11,48,,8,08_uprightpiano.png,x,0,0,0
9,2/18/15,2/18/11,48,,18,18_ringbox03.png,Shield,0,0,1
9,2/18/15,2/18/11,48,,19,19_garlic.png,Pumpkin,0,1,1
9,2/18/15,2/18/11,48,,20,20_ornament.png,x,0,0,0
9,2/18/15,2/18/11,48,,9,09_armchair.png,Shield,0,0,1
9,2/18/15,2/18/11,48,,2,02_seashell.png,Shell,1,1,0
9,2/18/15,2/18/11,48,,10,10_bison.png,x,0,0,0
9,2/18/15,2/18/11,48,,3,03_baseball 2.png,Ball,1,1,0
9,2/18/15,2/18/11,48,,11,11_fountain13.png,Water,0,0,1
9,2/18/15,2/18/11,48,,6,06_parthenon.png,x,0,0,0
9,2/18/15,2/18/11,48,,4,04_camera.png,Camera,1,1,0
9,2/18/15,2/18/11,48,,5,05_button.png,x,0,0,0
9,2/18/15,2/18/11,48,,12,12_bookcase.png,Books,1,1,0
9,2/18/15,2/18/11,48,,20,20_wheelchair.png,x,0,0,0
9,2/18/15,2/18/11,48,,6,06_cable.png,x,0,0,0
9,2/18/15,2/18/11,48,,13,13_piano.png,x,0,0,0
9,2/18/15,2/18/11,48,,14,14_washingMachine.png,Machine,1,0,0
9,2/18/15,2/18/11,48,,15,15_couch2.png,Big Chair,1,1,0
9,2/18/15,2/18/11,48,,16,16_garbagecan.png,Garbage Can,1,1,0
9,2/18/15,2/18/11,48,,17,17_hotairballoon2.png,Balloon,0,0,1
9,2/18/15,2/18/11,48,,7,07_dice.png,x,0,0,0
9,2/18/15,2/18/11,48,,8,08_changepurse.png,x,0,0,0
9,2/18/15,2/18/11,48,,9,09_mushroom.png,x,0,0,0
9,2/18/15,2/18/11,48,,18,18_hotairballoon.png,Balloon,0,0,1
9,2/18/15,2/18/11,48,,10,10_bowtiepasta.png,Bow,0,0,1
9,2/18/15,2/18/11,48,,19,19_refrigerator.png,Refridgerator,1,1,0
10,2/18/15,2/18/11,48,,1,01_apple.png,Apple,1,1,0
10,2/18/15,2/18/11,48,,11,11_controller.png,x,0,0,0
10,2/18/15,2/18/11,48,,2,02_carousel.png,x,0,0,0
10,2/18/15,2/18/11,48,,12,12_pencil sharpener 5.png,x,0,0,0
10,2/18/15,2/18/11,48,,1,01_desk.png,Bridge,0,1,1
10,2/18/15,2/18/11,48,,3,03_sofachair.png,Chair,1,1,0
10,2/18/15,2/18/11,48,,4,04_tractor11.png,Tractor,1,1,0
10,2/18/15,2/18/11,48,,13,13_rubberduck.png,Ducky,1,1,0
10,2/18/15,2/18/11,48,,5,05_wagon.png,Carriage,1,1,0
10,2/18/15,2/18/11,48,,14,14_perfume.png,x,0,0,0
10,2/18/15,2/18/11,48,,15,15_scotchtape.png,Tape,1,1,0
10,2/18/15,2/18/11,48,,7,07_grill.png,x,0,0,0
10,2/18/15,2/18/11,48,,16,16_clock.png,Clock,1,1,0
10,2/18/15,2/18/11,48,,17,17_pinecone.png,Plant,0,1,1
10,2/18/15,2/18/11,48,,8,08_uprightpiano.png,House,0,1,1
10,2/18/15,2/18/11,48,,18,18_ringbox03.png,Mirror,0,0,1
10,2/18/15,2/18/11,48,,19,19_garlic.png,Food,0,1,1
10,2/18/15,2/18/11,48,,20,20_ornament.png,x,0,0,0
10,2/18/15,2/18/11,48,,9,09_armchair.png,Chair,1,1,0
10,2/18/15,2/18/11,48,,2,02_seashell.png,Clam,1,1,0
10,2/18/15,2/18/11,48,,10,10_bison.png,Moose,1,1,0
10,2/18/15,2/18/11,48,,3,03_baseball 2.png,Ball,1,1,0
10,2/18/15,2/18/11,48,,11,11_fountain13.png,Trophy in Water,0,0,1
10,2/18/15,2/18/11,48,,6,06_parthenon.png,Train,0,1,1
10,2/18/15,2/18/11,48,,4,04_camera.png,Camera,1,1,0
10,2/18/15,2/18/11,48,,5,05_button.png,Button,1,1,0
10,2/18/15,2/18/11,48,,12,12_bookcase.png,Shelf,1,1,0
10,2/18/15,2/18/11,48,,20,20_wheelchair.png,Carriage House,0,1,1
10,2/18/15,2/18/11,48,,6,06_cable.png,Stamp,0,1,1
10,2/18/15,2/18/11,48,,13,13_piano.png,Guitar,0,1,1
10,2/18/15,2/18/11,48,,14,14_washingMachine.png,Machine,0,0,1
10,2/18/15,2/18/11,48,,15,15_couch2.png,Couch,1,1,0
10,2/18/15,2/18/11,48,,16,16_garbagecan.png,Garbage Can,1,1,0
10,2/18/15,2/18/11,48,,17,17_hotairballoon2.png,Balloon,0,0,1
10,2/18/15,2/18/11,48,,7,07_dice.png,Block,0,0,1
10,2/18/15,2/18/11,48,,8,08_changepurse.png,x,0,0,0
10,2/18/15,2/18/11,48,,9,09_mushroom.png,Tree,0,0,1
10,2/18/15,2/18/11,48,,18,18_hotairballoon.png,Balloon,0,0,1
10,2/18/15,2/18/11,48,,10,10_bowtiepasta.png,Butterfly,0,1,1
10,2/18/15,2/18/11,48,,19,19_refrigerator.png,Refrigerator,1,1,0
12,2/18/15,8/27/10,53,,1,01_apple.png,Apple,1,1,0
12,2/18/15,8/27/10,53,,11,11_controller.png,Head,0,1,1
12,2/18/15,8/27/10,53,,2,02_carousel.png,Zoo,0,1,1
12,2/18/15,8/27/10,53,,12,12_pencil sharpener 5.png,Remote Control,0,1,1
12,2/18/15,8/27/10,53,,1,01_desk.png,Table,1,1,0
12,2/18/15,8/27/10,53,,3,03_sofachair.png,Chair,1,1,0
12,2/18/15,8/27/10,53,,4,04_tractor11.png,Tractor,1,1,0
12,2/18/15,8/27/10,53,,13,13_rubberduck.png,Ducky,1,1,0
12,2/18/15,8/27/10,53,,5,05_wagon.png,Wheel Chair,0,1,1
12,2/18/15,8/27/10,53,,14,14_perfume.png,Lamp,0,1,1
12,2/18/15,8/27/10,53,,15,15_scotchtape.png,Tape,1,1,0
12,2/18/15,8/27/10,53,,7,07_grill.png,Kitchen Table,0,1,1
12,2/18/15,8/27/10,53,,16,16_clock.png,Clock,1,1,0
12,2/18/15,8/27/10,53,,17,17_pinecone.png,Pinecone,1,1,0
12,2/18/15,8/27/10,53,,8,08_uprightpiano.png,Music,0,0,1
12,2/18/15,8/27/10,53,,18,18_ringbox03.png,Chair,0,0,1
12,2/18/15,8/27/10,53,,19,19_garlic.png,Popcorn,0,1,1
12,2/18/15,8/27/10,53,,20,20_ornament.png,Dream,0,0,1
12,2/18/15,8/27/10,53,,9,09_armchair.png,Chair,1,1,0
12,2/18/15,8/27/10,53,,2,02_seashell.png,Shell,1,1,0
12,2/18/15,8/27/10,53,,10,10_bison.png,Camel,0,1,1
12,2/18/15,8/27/10,53,,3,03_baseball 2.png,Baseball,1,1,0
12,2/18/15,8/27/10,53,,11,11_fountain13.png,Statue,1,1,0
12,2/18/15,8/27/10,53,,6,06_parthenon.png,x,0,0,0
12,2/18/15,8/27/10,53,,4,04_camera.png,Camera,1,1,0
12,2/18/15,8/27/10,53,,5,05_button.png,Button,1,1,0
12,2/18/15,8/27/10,53,,12,12_bookcase.png,Books,1,1,0
12,2/18/15,8/27/10,53,,20,20_wheelchair.png,Wheelchair,1,1,0
12,2/18/15,8/27/10,53,,6,06_cable.png,Broom,0,0,1
12,2/18/15,8/27/10,53,,13,13_piano.png,Piano,1,1,0
12,2/18/15,8/27/10,53,,14,14_washingMachine.png,Garage Opener,0,0,1
12,2/18/15,8/27/10,53,,15,15_couch2.png,Chair,1,1,0
12,2/18/15,8/27/10,53,,16,16_garbagecan.png,Garbage,1,1,0
12,2/18/15,8/27/10,53,,17,17_hotairballoon2.png,Balloon,0,0,1
12,2/18/15,8/27/10,53,,7,07_dice.png,Rectangle,0,0,1
12,2/18/15,8/27/10,53,,8,08_changepurse.png,Mitten,0,1,1
12,2/18/15,8/27/10,53,,9,09_mushroom.png,Acorn,0,1,1
12,2/18/15,8/27/10,53,,18,18_hotairballoon.png,Balloon,0,0,1
12,2/18/15,8/27/10,53,,10,10_bowtiepasta.png,x,0,0,0
12,2/18/15,8/27/10,53,,19,19_refrigerator.png,Refridgerator,1,1,0
13,2/18/15,9/7/10,53,,1,01_apple.png,Apple,1,1,0
13,2/18/15,9/7/10,53,,11,11_controller.png,Remote ,1,1,0
13,2/18/15,9/7/10,53,,2,02_carousel.png,Merry Go Round,1,1,0
13,2/18/15,9/7/10,53,,12,12_pencil sharpener 5.png,Camera,0,1,1
13,2/18/15,9/7/10,53,,1,01_desk.png,Table,1,1,0
13,2/18/15,9/7/10,53,,3,03_sofachair.png,Bed,0,1,1
13,2/18/15,9/7/10,53,,4,04_tractor11.png,Tractor,1,1,0
13,2/18/15,9/7/10,53,,13,13_rubberduck.png,Rubber Ducky,1,1,0
13,2/18/15,9/7/10,53,,5,05_wagon.png,Horse Carriage,1,1,0
13,2/18/15,9/7/10,53,,14,14_perfume.png,Perfume,1,1,0
13,2/18/15,9/7/10,53,,15,15_scotchtape.png,Tape,1,1,0
13,2/18/15,9/7/10,53,,7,07_grill.png,TV,0,0,1
13,2/18/15,9/7/10,53,,16,16_clock.png,Alarm Clock,1,1,0
13,2/18/15,9/7/10,53,,17,17_pinecone.png,Pine Cone,1,1,0
13,2/18/15,9/7/10,53,,8,08_uprightpiano.png,Piano,1,1,0
13,2/18/15,9/7/10,53,,18,18_ringbox03.png,Lunchbox,0,1,1
13,2/18/15,9/7/10,53,,19,19_garlic.png,Broccoli,0,1,1
13,2/18/15,9/7/10,53,,20,20_ornament.png,Ornament,1,1,0
13,2/18/15,9/7/10,53,,9,09_armchair.png,Chair,1,1,0
13,2/18/15,9/7/10,53,,2,02_seashell.png,Shell,1,1,0
13,2/18/15,9/7/10,53,,10,10_bison.png,Camel,0,1,1
13,2/18/15,9/7/10,53,,3,03_baseball 2.png,Baseball,1,1,0
13,2/18/15,9/7/10,53,,11,11_fountain13.png,Ariel,0,0,1
13,2/18/15,9/7/10,53,,6,06_parthenon.png,Cage,0,0,1
13,2/18/15,9/7/10,53,,4,04_camera.png,Camera,1,1,0
13,2/18/15,9/7/10,53,,5,05_button.png,Button,1,1,0
13,2/18/15,9/7/10,53,,12,12_bookcase.png,Bookshelf,1,1,0
13,2/18/15,9/7/10,53,,20,20_wheelchair.png,Wheelchair,1,1,0
13,2/18/15,9/7/10,53,,6,06_cable.png,Sweeper,0,0,1
13,2/18/15,9/7/10,53,,13,13_piano.png,Piano,1,1,0
13,2/18/15,9/7/10,53,,14,14_washingMachine.png,Washing Machine,1,1,0
13,2/18/15,9/7/10,53,,15,15_couch2.png,Chair,1,1,0
13,2/18/15,9/7/10,53,,16,16_garbagecan.png,Garbage,1,1,0
13,2/18/15,9/7/10,53,,17,17_hotairballoon2.png,Hot Air Balloon,1,1,0
13,2/18/15,9/7/10,53,,7,07_dice.png,Cube,0,1,1
13,2/18/15,9/7/10,53,,8,08_changepurse.png,Purse,1,1,0
13,2/18/15,9/7/10,53,,9,09_mushroom.png,Mushroom,1,1,0
13,2/18/15,9/7/10,53,,18,18_hotairballoon.png,Hot Air Balloon,1,1,0
13,2/18/15,9/7/10,53,,10,10_bowtiepasta.png,Bow,1,1,0
13,2/18/15,9/7/10,53,,19,19_refrigerator.png,Refridgerator,1,1,0
14,2/20/15,5/5/10,57,,1,01_apple.png,Apple,1,1,0
14,2/20/15,5/5/10,57,,11,11_controller.png,Remote Control,1,1,0
14,2/20/15,5/5/10,57,,2,02_carousel.png,Ferry Go Round,1,1,0
14,2/20/15,5/5/10,57,,12,12_pencil sharpener 5.png,Tool Thingy,0,1,1
14,2/20/15,5/5/10,57,,1,01_desk.png,Desk,1,1,0
14,2/20/15,5/5/10,57,,3,03_sofachair.png,Couch,1,1,0
14,2/20/15,5/5/10,57,,4,04_tractor11.png,Tractor,1,1,0
14,2/20/15,5/5/10,57,,13,13_rubberduck.png,Ducky,1,1,0
14,2/20/15,5/5/10,57,,5,05_wagon.png,Tractor,0,1,1
14,2/20/15,5/5/10,57,,14,14_perfume.png,Ornament,0,1,1
14,2/20/15,5/5/10,57,,15,15_scotchtape.png,Tape,1,1,0
14,2/20/15,5/5/10,57,,7,07_grill.png,Balcony/Cook,1,1,0
14,2/20/15,5/5/10,57,,16,16_clock.png,Clock,1,1,0
14,2/20/15,5/5/10,57,,17,17_pinecone.png,Pinnaple,0,1,1
14,2/20/15,5/5/10,57,,8,08_uprightpiano.png,Piano,1,1,0
14,2/20/15,5/5/10,57,,18,18_ringbox03.png,Lunchbox,0,1,1
14,2/20/15,5/5/10,57,,19,19_garlic.png,Food/Onion,1,1,0
14,2/20/15,5/5/10,57,,20,20_ornament.png,Ornament,1,1,0
14,2/20/15,5/5/10,57,,9,09_armchair.png,Couch,1,1,0
14,2/20/15,5/5/10,57,,2,02_seashell.png,Shell,1,1,0
14,2/20/15,5/5/10,57,,10,10_bison.png,Alive,0,0,1
14,2/20/15,5/5/10,57,,3,03_baseball 2.png,Baseball,1,1,0
14,2/20/15,5/5/10,57,,11,11_fountain13.png,Swimming Pool,1,1,0
14,2/20/15,5/5/10,57,,6,06_parthenon.png,House,1,1,0
14,2/20/15,5/5/10,57,,4,04_camera.png,Camera,1,1,0
14,2/20/15,5/5/10,57,,5,05_button.png,Button,1,1,0
14,2/20/15,5/5/10,57,,12,12_bookcase.png,Bookshelf,1,1,0
14,2/20/15,5/5/10,57,,20,20_wheelchair.png,Wheel Chair,1,1,0
14,2/20/15,5/5/10,57,,6,06_cable.png,Cheese Grater,0,1,1
14,2/20/15,5/5/10,57,,13,13_piano.png,Piano,1,1,0
14,2/20/15,5/5/10,57,,14,14_washingMachine.png,Laundry,1,1,0
14,2/20/15,5/5/10,57,,15,15_couch2.png,Couch,1,1,0
14,2/20/15,5/5/10,57,,16,16_garbagecan.png,Trashcan,1,1,0
14,2/20/15,5/5/10,57,,17,17_hotairballoon2.png,Hot Air Balloon,1,1,0
14,2/20/15,5/5/10,57,,7,07_dice.png,Dice,1,1,0
14,2/20/15,5/5/10,57,,8,08_changepurse.png,Purse,1,1,0
14,2/20/15,5/5/10,57,,9,09_mushroom.png,Mushroom,1,1,0
14,2/20/15,5/5/10,57,,18,18_hotairballoon.png,Hot Air Balloon,1,1,0
14,2/20/15,5/5/10,57,,10,10_bowtiepasta.png,Noodle,1,1,0
14,2/20/15,5/5/10,57,,19,19_refrigerator.png,Refridgerator,1,1,0
17,2/25/15,1/10/11,49,,19,19_refrigerator.png,Fridge,1,1,0
17,2/25/15,1/10/11,49,,10,10_bowtiepasta.png,Butterfly,0,1,1
17,2/25/15,1/10/11,49,,18,18_hotairballoon.png,Air Balloon,1,1,0
17,2/25/15,1/10/11,49,,9,09_mushroom.png,Mushroom,1,1,0
17,2/25/15,1/10/11,49,,8,08_changepurse.png,Purse,1,1,0
17,2/25/15,1/10/11,49,,7,07_dice.png,Dice,1,1,0
17,2/25/15,1/10/11,49,,17,17_hotairballoon2.png,Air Balloon,1,1,0
17,2/25/15,1/10/11,49,,16,16_garbagecan.png,Trash Can,1,1,0
17,2/25/15,1/10/11,49,,15,15_couch2.png,couch,1,1,0
17,2/25/15,1/10/11,49,,14,14_washingMachine.png,Laundry Thing,1,1,0
17,2/25/15,1/10/11,49,,13,13_piano.png,Piano,1,1,0
17,2/25/15,1/10/11,49,,6,06_cable.png,x,0,0,0
17,2/25/15,1/10/11,49,,20,20_wheelchair.png,Wheelchair,1,1,0
17,2/25/15,1/10/11,49,,12,12_bookcase.png,Bookcase,1,1,0
17,2/25/15,1/10/11,49,,5,05_button.png,Button,1,1,0
17,2/25/15,1/10/11,49,,4,04_camera.png,Camera,1,1,0
17,2/25/15,1/10/11,49,,6,06_parthenon.png,House,1,1,0
17,2/25/15,1/10/11,49,,11,11_fountain13.png,Chair made of Wood,0,1,1
17,2/25/15,1/10/11,49,,3,03_baseball 2.png,Baseball,1,1,0
17,2/25/15,1/10/11,49,,10,10_bison.png,Bison,1,1,0
17,2/25/15,1/10/11,49,,2,02_seashell.png,Shell,1,1,0
17,2/25/15,1/10/11,49,,9,09_armchair.png,Chair,1,1,0
17,2/25/15,1/10/11,49,,20,20_ornament.png,Lantern,0,1,1
17,2/25/15,1/10/11,49,,19,19_garlic.png,Radish,0,1,1
